terms
as a woman
feminazi
go to the kitchen
in the kitchen
slut
crazy about
as a girl
feminist
little girl
in your days
go washing
puritan
maricmacho
to be a woman
nenaza
I hate women
gold digger
to the women we have to
women shouldn't
women these days
woman driving
a lot of feminism but
you had to be a woman
you look like a bitch
to be a woman
you'll end up alone
man who endures you
obsessed with sexism
you look like a whore
tried a man
fa woman
fa girl
sexism
sexist
doesn't shut up
nothing against women
a woman
she's not for
sexism
WAG
female commentator
woman commentator
fa girl
fa woman
gender equality
sex equality
box ticking
domestic violence
telling us men
wives and girlfriends
lesbo
lesbian
becky
beckies
beckys
bimbo
bint
bird
bitch
cock tease
conchuda
cunt
dagette
degette
dinklady
dinkladies
dyke
FGM
gasher
gookette
girl
 ho 
 hos 
hoodrat
kunt
mammy
mommy
muslimette
mutah
muttah
pussy
pussies
niggerette
scag
skag
skank
tranny
trannies
twat
virago
whoriental
yellow cab
whore
