brain dead
sick head
tone deaf
window licker
mentally ill
brain damage
ref blind
special needs
crazy cat
cat lady
retard
deaf dumb
loony bin
blind deaf
funny farm
burn victim
like madman
deaf mute
senile old
mentally disabled
brain damaged
like burn
emotionally disturbed
shut gimp
gimps
mong
spastic
gimp
morons
special ed
spastic cunt
mentally handicapped
midget
madman
blind
able  bodied
able-bodied
abnormal
addict
afflicted
asylum
attention-seeking
autism
autistic
batty
bipolar
birth defect
blind
bonkers
brain damage
brain damaged
brain dead
burn victim
cat lady
challenged
crazy
crazy cat
crazy cat lady
cretin
cripple
daft
deaf
deaf and dumb
deaf dumb
deaf mute
deaf-mute
defect
defective
deformed
delusional
demented
deranged
derp
dimwitted
dim-witted
disabled
disorder
dotard
downie
downy
dumb
dummy
dwarf
emotionally disturbed
epileptic
exceptional
feeble-minded
fish wagon
flid
freak
funny farm
gimp
gimps
handicapable
handicapped
hare lip
harelip
hearing-impaired
homebound
humpback
hunchback
hyper-sensitive
hysterical
idiot
ill
imbecile
incapacitated
inmate
insane
invalid
jewtard
junkie
lame
libtard
looney
loony
loony bin
lpc – likely to become a public charge
lunatic
mad
madman
maniac
mental
mental case
mentally disabled
mentally handicapped
mentally ill
midget
mong
mongol
moron
moronic
morons
munchkin
mutant
mute
narc
obese
paraplegic
physically challenged
psychiatric
psycho
psycho
psychopath
quasimodo
retard
scatterbrained
schizo
schizophrenic
screw loose
senile
senile old
shut gimp
sick head
sick in the head
simpleton
sluggish
sociopath
spakka
spastic
spastic cunt
spaz
special ed
special ed
special needs
sped
sperg
stone deaf
stricken
stupid
subnormal
sufferer
supercrip
syndrome
tard
the dumb
the wheelchair
thick
tone deaf
toxic
unclean
unfortunate
unhinged
vegetable
vegetable
victim of an ailment
wacko
wacko
wheechair
wheelchair
who talks bad
window licker
